stir fry,0.9981426449
fried rice,0.9981248874
brown sauce,0.9981096876
fortune cookie,0.9980941095
hong kong,0.9980835908
sea bass,0.9980322556
food court,0.9980170228
white rice,0.9980136096
hot pot,0.9980012841
chow mein,0.9979753594
bok choy,0.9979582184
san francisco,0.9979434388
beef stew,0.9979161855
char siu,0.9979142867
bitter melon,0.9979072083
panda express,0.9978956786
chicken wings,0.9978947246
spare ribs,0.9978847315
brown rice,0.9978843843
dim sum,0.9978802853
bamboo shoots,0.9978634395
xo sauce,0.9978306652
soy sauce,0.9978297724
steamed rice,0.9978296563
food poisoning,0.9978177599
language barrier,0.9977912291
chili sauce,0.9977368005
egg roll,0.9976437665
shangri la,0.9976415769
fast food,0.9976076370
chinese cuisine,0.9975708920
cream cheese,0.9975507538
green beans,0.9975507364
napa cabbage,0.9975439296
americanized chinese food,0.9975111094
pork belly,0.9975007397
chop suey,0.9974734832
mandalay bay,0.9974494450
deep fried,0.9974333272
monte carlo,0.9973887137
stir fried,0.9973785239
strip mall,0.9973728094
las vegas,0.9973291624
los angeles,0.9973099381
light rail,0.9973073375
general chicken,0.9972321870
oyster sauce,0.9972040357
asian cuisine,0.9971893765
casa grande,0.9971823175
bean curd,0.9971639251
ice cream,0.9971396533
peking duck,0.9971295418
noodle soup,0.9971249755
saving grace,0.9970287596
spring roll,0.9970194844
chinese restaurants,0.9969833387
taco bell,0.9969817114
duck sauce,0.9969606182
iced tea,0.9969007791
credit card,0.9968955513
black pepper,0.9968506125
hoisin sauce,0.9968493723
mu shu,0.9968432770
black bean,0.9967914519
green onion,0.9967867437
peanut butter,0.9967674196
green tea,0.9966786809
corn starch,0.9966358960
comfort food,0.9965721877
shaved ice,0.9964609048
pf changs,0.9964423633
gluten free,0.9963633838
rice noodles,0.9962721226
queen creek,0.9962261500
green onions,0.9962007165
foo yung,0.9961795903
mu shu pork,0.9960785978
sun prairie,0.9960709406
pf chang,0.9960678506
singapore noodles,0.9960593077
chin chin,0.9960541950
fried chicken,0.9959668754
san diego,0.9959611156
lan zhou,0.9959482236
hot sauce,0.9959344830
bell pepper,0.9959214461
soy milk,0.9956286103
iron chef,0.9952754706
bay area,0.9951937127
szechuan chicken,0.9951536169
fish tank,0.9951502997
chinese american,0.9950080117
al dente,0.9948862223
credit cards,0.9948124604
lazy susan,0.9947941590
sesame seeds,0.9947933396
wor wonton soup,0.9947564756
moo shu,0.9947118328
shark fin,0.9946405379
great wall,0.9945774409
dipping sauce,0.9945691116
rice cake,0.9945507257
sticky rice,0.9945084913
hot mustard,0.9941709634
gold coast,0.9940559277
sam woo,0.9937481689
snow peas,0.9937078749
open late,0.9935099307
wah kee,0.9934487736
snow pea,0.9934067852
jasmine tea,0.9932658014
fried shrimp,0.9932223377
rice noodle,0.9931833891
pad thai,0.9931371099
miso soup,0.9930840182
cashew chicken,0.9929802197
sunday brunch,0.9928957038
lao ching hing,0.9928238461
shabu shabu,0.9927408947
kung pao chicken,0.9924847122
crab puffs,0.9924336348
lo mein,0.9923800782
chow fun,0.9923683161
sweet and sour sauce,0.9922744786
yummy yummy,0.9920429384
pu pu,0.9918434663
chinese food,0.9916249703
standard chinese,0.9915955304
pork chop,0.9915082713
fortune cookies,0.9914767607
main course,0.9912724682
peanut sauce,0.9912711498
won tons,0.9912575472
hot sour soup,0.9910104524
east coast,0.9907866166
timely manner,0.9907790502
teriyaki chicken,0.9907257998
moo shoo,0.9906181303
green bean,0.9900378963
lemon chicken,0.9898908691
pot stickers,0.9898009825
crab rangoon,0.9897576910
pork ribs,0.9897523395
tap water,0.9897009478
sesame chicken,0.9896349495
date night,0.9893244862
cantonese cuisine,0.9891040305
har gow,0.9887299614
golden gate,0.9886846881
cake noodle,0.9886314936
wo fat,0.9883103562
fried wonton,0.9881538751
chili oil,0.9880636955
red bean,0.9878238504
online ordering,0.9878165093
chicken fried,0.9877843675
plum sauce,0.9877301220
honey chicken,0.9876534382
pleasantly surprised,0.9876522751
green pepper,0.9875266272
fried egg,0.9874874074
fish tanks,0.9873963352
white sauce,0.9871503696
won ton,0.9871108992
red pepper,0.9866138265
sesame oil,0.9864802790
hunan beef,0.9864389706
string beans,0.9864287951
walnut shrimp,0.9863016468
chili pepper,0.9862649998
bbq pork,0.9860589253
spring rolls,0.9858919231
fine dining,0.9856400665
green peppers,0.9853369221
chow mien,0.9853185054
milk tea,0.9852445346
egg foo yung,0.9852213453
fried fish,0.9849830912
honey walnut shrimp,0.9847498577
lettuce wraps,0.9845952218
sushi rolls,0.9845203552
beef tenderloin,0.9843468903
ox tail,0.9843466213
red peppers,0.9842724293
noodle asia,0.9841326405
caesars palace,0.9839782955
hk style,0.9839528275
lan zhou beef noodle soup,0.9839400203
hot pots,0.9839213980
great prices,0.9838856199
minute wait,0.9838583270
pan fried,0.9836920873
creme brulee,0.9836476149
fried wontons,0.9830534564
chinese sausage,0.9825351000
chicken soup,0.9820092570
egg flower soup,0.9816697807
late night,0.9816133926
egg drop,0.9815804245
roast duck,0.9813985657
crab rangoons,0.9813873627
red chili,0.9811102174
sweet potato,0.9809117279
